#	lambda         S/N    tar_flux   tot_noise    sc_noise   sys_noise   readnoise  dark_noise   sky_noise     mockgal
#	nm   1e-13erg/s/cm2/nm    #e          #e          #e          #e          #e          #e      1e-13erg/s/cm2/nm
     350.000   6.969E-03   4.887E-04    11.25538     0.28006    11.25190     9.79796     5.53173     0.07243    -0.00365
     350.176   6.515E-03   4.520E-04    11.25916     0.27084    11.25591     9.79796     5.53173     0.30889    -0.03368
     350.351   5.990E-03   4.110E-04    11.25894     0.25969    11.25595     9.79796     5.53173     0.31048    -0.06196
     350.527   5.771E-03   3.917E-04    11.25888     0.25491    11.25599     9.79796     5.53173     0.31206    -0.11614
     350.702   6.090E-03   4.089E-04    11.25908     0.26185    11.25604     9.79796     5.53173     0.31363    -0.05663
     350.878   6.813E-03   4.526E-04    11.25949     0.27697    11.25608     9.79796     5.53173     0.31520     0.10377
     351.053   7.578E-03   4.982E-04    11.25991     0.29212    11.25612     9.79796     5.53173     0.31675     0.04759
     351.229   8.063E-03   5.245E-04    11.26020     0.30132    11.25617     9.79796     5.53173     0.31829     0.08819
     351.404   8.156E-03   5.251E-04    11.26029     0.30305    11.25621     9.79796     5.53173     0.31983     0.09339
     351.580   7.944E-03   5.062E-04    11.26023     0.29909    11.25626     9.79796     5.53173     0.32137     0.03403
     351.756   7.542E-03   4.757E-04    11.26007     0.29142    11.25630     9.79796     5.53173     0.32290     0.11694
     351.931   7.023E-03   4.385E-04    11.25985     0.28120    11.25634     9.79796     5.53173     0.32440    -0.15601
     352.107   6.571E-03   4.062E-04    11.25967     0.27201    11.25639     9.79796     5.53173     0.32591    -0.00571
     352.282   6.514E-03   3.987E-04    11.25969     0.27082    11.25643     9.79796     5.53173     0.32741    -0.01338
     352.458   7.000E-03   4.242E-04    11.25997     0.28074    11.25647     9.79796     5.53173     0.32891    -0.10396
     352.633   7.812E-03   4.689E-04    11.26042     0.29660    11.25652     9.79796     5.53173     0.33040     0.08960
     352.809   8.557E-03   5.087E-04    11.26084     0.31041    11.25656     9.79796     5.53173     0.33186    -0.11335
     352.984   8.938E-03   5.263E-04    11.26107     0.31726    11.25660     9.79796     5.53173     0.33334     0.12191
     353.160   8.998E-03   5.248E-04    11.26115     0.31832    11.25665     9.79796     5.53173     0.33481    -0.04716
     353.336   9.018E-03   5.211E-04    11.26120     0.31868    11.25669     9.79796     5.53173     0.33627     0.05903
     353.511   9.147E-03   5.236E-04    11.26131     0.32095    11.25673     9.79796     5.53173     0.33771     0.05436
     353.687   9.288E-03   5.268E-04    11.26142     0.32342    11.25678     9.79796     5.53173     0.33915    -0.04791
     353.862   9.289E-03   5.220E-04    11.26147     0.32343    11.25682     9.79796     5.53173     0.34059    -0.12339
     354.038   9.063E-03   5.047E-04    11.26140     0.31948    11.25686     9.79796     5.53173     0.34202    -0.04464
     354.213   8.638E-03   4.767E-04    11.26123     0.31189    11.25691     9.79796     5.53173     0.34344    -0.07647
     354.389   8.151E-03   4.458E-04    11.26103     0.30297    11.25695     9.79796     5.53173     0.34485    -0.00552
     354.564   7.830E-03   4.245E-04    11.26091     0.29694    11.25699     9.79796     5.53173     0.34626    -0.05194
     354.740   7.932E-03   4.262E-04    11.26100     0.29886    11.25704     9.79796     5.53173     0.34767     0.05623
     354.916   8.470E-03   4.512E-04    11.26132     0.30885    11.25708     9.79796     5.53173     0.34907     0.06279
     355.091   9.212E-03   4.864E-04    11.26173     0.32208    11.25712     9.79796     5.53173     0.35045     0.07722
     355.267   9.955E-03   5.212E-04    11.26214     0.33483    11.25717     9.79796     5.53173     0.35183     0.03034
     355.442   1.065E-02   5.530E-04    11.26254     0.34637    11.25721     9.79796     5.53173     0.35321    -0.01929
     355.618   1.130E-02   5.815E-04    11.26290     0.35670    11.25725     9.79796     5.53173     0.35459     0.01842
     355.793   1.183E-02   6.041E-04    11.26321     0.36509    11.25730     9.79796     5.53173     0.35596     0.03204
     355.969   1.220E-02   6.175E-04    11.26344     0.37068    11.25734     9.79796     5.53173     0.35731     0.07854
     356.144   1.234E-02   6.193E-04    11.26355     0.37274    11.25738     9.79796     5.53173     0.35866     0.09486
     356.320   1.221E-02   6.078E-04    11.26353     0.37079    11.25743     9.79796     5.53173     0.36001     0.01130
     356.496   1.190E-02   5.878E-04    11.26342     0.36613    11.25747     9.79796     5.53173     0.36134     0.01466
     356.671   1.159E-02   5.677E-04    11.26331     0.36129    11.25751     9.79796     5.53173     0.36268     0.07242
     356.847   1.134E-02   5.511E-04    11.26323     0.35740    11.25755     9.79796     5.53173     0.36402    -0.01130
     357.022   1.107E-02   5.334E-04    11.26313     0.35303    11.25760     9.79796     5.53173     0.36535    -0.07846
     357.198   1.062E-02   5.078E-04    11.26295     0.34584    11.25764     9.79796     5.53173     0.36667     0.10008
     357.373   9.946E-03   4.719E-04    11.26266     0.33469    11.25768     9.79796     5.53173     0.36797     0.06869
     357.549   9.140E-03   4.302E-04    11.26230     0.32084    11.25773     9.79796     5.53173     0.36929    -0.11070
     357.724   8.490E-03   3.965E-04    11.26201     0.30921    11.25777     9.79796     5.53173     0.37060     0.08734
     357.900   8.433E-03   3.909E-04    11.26203     0.30818    11.25781     9.79796     5.53173     0.37190    -0.02170
     358.076   9.143E-03   4.205E-04    11.26243     0.32089    11.25785     9.79796     5.53173     0.37318     0.03355
     358.251   1.029E-02   4.696E-04    11.26304     0.34039    11.25790     9.79796     5.53173     0.37447    -0.01824
     358.427   1.137E-02   5.153E-04    11.26363     0.35793    11.25794     9.79796     5.53173     0.37576     0.00300
     358.602   1.213E-02   5.456E-04    11.26405     0.36969    11.25798     9.79796     5.53173     0.37705    -0.04103
     358.778   1.264E-02   5.642E-04    11.26435     0.37733    11.25803     9.79796     5.53173     0.37832    -0.00769
     358.953   1.312E-02   5.813E-04    11.26463     0.38445    11.25807     9.79796     5.53173     0.37958     0.03299
     359.129   1.363E-02   5.993E-04    11.26493     0.39178    11.25811     9.79796     5.53173     0.38085    -0.01816
     359.304   1.394E-02   6.088E-04    11.26513     0.39634    11.25815     9.79796     5.53173     0.38211    -0.04850
     359.480   1.391E-02   6.030E-04    11.26515     0.39589    11.25820     9.79796     5.53173     0.38337     0.02104
     359.656   1.368E-02   5.888E-04    11.26508     0.39262    11.25824     9.79796     5.53173     0.38461     0.01164
     359.831   1.354E-02   5.785E-04    11.26505     0.39058    11.25828     9.79796     5.53173     0.38585    -0.03654
     360.007   1.351E-02   5.728E-04    11.26508     0.39005    11.25832     9.79796     5.53173     0.38711     0.05234
     360.182   1.342E-02   5.642E-04    11.26509     0.38882    11.25838     9.79796     5.53173     0.38869    -0.00089
     360.358   1.328E-02   5.536E-04    11.26508     0.38684    11.25843     9.79796     5.53173     0.39024     0.01595
     360.533   1.327E-02   5.481E-04    11.26512     0.38658    11.25849     9.79796     5.53173     0.39178     0.04561
     360.709   1.327E-02   5.437E-04    11.26518     0.38670    11.25854     9.79796     5.53173     0.39334    -0.07180
     360.884   1.309E-02   5.317E-04    11.26514     0.38404    11.25859     9.79796     5.53173     0.39488    -0.06009
     361.060   1.277E-02   5.141E-04    11.26503     0.37924    11.25865     9.79796     5.53173     0.39642    -0.00216
     361.236   1.244E-02   4.967E-04    11.26492     0.37431    11.25870     9.79796     5.53173     0.39793     0.03914
     361.411   1.205E-02   4.773E-04    11.26478     0.36848    11.25875     9.79796     5.53173     0.39945    -0.06391
     361.587   1.146E-02   4.499E-04    11.26454     0.35924    11.25881     9.79796     5.53173     0.40097    -0.03010
     361.762   1.061E-02   4.131E-04    11.26417     0.34566    11.25886     9.79796     5.53173     0.40246    -0.03096
     361.938   9.729E-03   3.758E-04    11.26378     0.33103    11.25892     9.79796     5.53173     0.40396     0.08338
     362.113   9.224E-03   3.534E-04    11.26358     0.32232    11.25897     9.79796     5.53173     0.40546     0.00127
     362.289   9.364E-03   3.559E-04    11.26371     0.32476    11.25902     9.79796     5.53173     0.40695     0.00965
     362.464   1.008E-02   3.802E-04    11.26412     0.33699    11.25908     9.79796     5.53173     0.40843     0.00644
     362.640   1.117E-02   4.181E-04    11.26472     0.35478    11.25913     9.79796     5.53173     0.40989     0.03266
     362.816   1.246E-02   4.626E-04    11.26542     0.37469    11.25918     9.79796     5.53173     0.41137     0.06116
     362.991   1.373E-02   5.058E-04    11.26611     0.39333    11.25924     9.79796     5.53173     0.41284     0.01448
     363.167   1.478E-02   5.401E-04    11.26668     0.40802    11.25929     9.79796     5.53173     0.41430    -0.02069
     363.342   1.555E-02   5.639E-04    11.26712     0.41853    11.25935     9.79796     5.53173     0.41574     0.07449
     363.518   1.610E-02   5.795E-04    11.26745     0.42590    11.25940     9.79796     5.53173     0.41718     0.08784
     363.693   1.649E-02   5.893E-04    11.26770     0.43110    11.25945     9.79796     5.53173     0.41863     0.02513
     363.869   1.683E-02   5.969E-04    11.26793     0.43552    11.25951     9.79796     5.53173     0.42007    -0.04878
     364.044   1.716E-02   6.040E-04    11.26814     0.43978    11.25956     9.79796     5.53173     0.42149    -0.04797
     364.220   1.738E-02   6.071E-04    11.26831     0.44255    11.25961     9.79796     5.53173     0.42290     0.05601
     364.396   1.742E-02   6.040E-04    11.26838     0.44305    11.25967     9.79796     5.53173     0.42433     0.04204
     364.571   1.737E-02   5.977E-04    11.26841     0.44237    11.25972     9.79796     5.53173     0.42575    -0.06958
     364.747   1.734E-02   5.925E-04    11.26845     0.44206    11.25977     9.79796     5.53173     0.42716    -0.05367
     364.922   1.748E-02   5.929E-04    11.26857     0.44381    11.25982     9.79796     5.53173     0.42855     0.03403
     365.098   1.782E-02   6.003E-04    11.26879     0.44817    11.25988     9.79796     5.53173     0.42994     0.01062
     365.273   1.818E-02   6.079E-04    11.26903     0.45265    11.25993     9.79796     5.53173     0.43134    -0.01183
     365.449   1.835E-02   6.093E-04    11.26917     0.45479    11.25998     9.79796     5.53173     0.43273    -0.02318
     365.624   1.840E-02   6.064E-04    11.26924     0.45531    11.26004     9.79796     5.53173     0.43411    -0.00594
     365.800   1.843E-02   6.032E-04    11.26931     0.45572    11.26009     9.79796     5.53173     0.43547     0.01355
     365.976   1.842E-02   5.987E-04    11.26936     0.45561    11.26014     9.79796     5.53173     0.43685     0.03244
     366.151   1.829E-02   5.905E-04    11.26935     0.45404    11.26020     9.79796     5.53173     0.43822    -0.01084
     366.327   1.816E-02   5.821E-04    11.26933     0.45238    11.26025     9.79796     5.53173     0.43959    -0.02868
     366.502   1.823E-02   5.805E-04    11.26942     0.45331    11.26030     9.79796     5.53173     0.44093     0.02041
     366.678   1.845E-02   5.832E-04    11.26958     0.45593    11.26036     9.79796     5.53173     0.44228    -0.01403
     366.853   1.844E-02   5.792E-04    11.26963     0.45588    11.26041     9.79796     5.53173     0.44363    -0.02359
     367.029   1.812E-02   5.652E-04    11.26953     0.45189    11.26046     9.79796     5.53173     0.44498     0.01221
     367.204   1.773E-02   5.494E-04    11.26939     0.44702    11.26052     9.79796     5.53173     0.44632     0.02417
     367.380   1.738E-02   5.350E-04    11.26926     0.44260    11.26057     9.79796     5.53173     0.44763    -0.07998
     367.556   1.693E-02   5.176E-04    11.26909     0.43680    11.26062     9.79796     5.53173     0.44897     0.01681
     367.731   1.622E-02   4.927E-04    11.26879     0.42758    11.26067     9.79796     5.53173     0.45029    -0.01644
     367.907   1.515E-02   4.571E-04    11.26830     0.41316    11.26073     9.79796     5.53173     0.45159     0.00672
     368.082   1.387E-02   4.157E-04    11.26771     0.39529    11.26078     9.79796     5.53173     0.45291     0.00059
     368.258   1.299E-02   3.868E-04    11.26733     0.38258    11.26083     9.79796     5.53173     0.45423     0.04070
     368.433   1.315E-02   3.890E-04    11.26746     0.38488    11.26088     9.79796     5.53173     0.45554    -0.03983
     368.609   1.431E-02   4.208E-04    11.26810     0.40162    11.26094     9.79796     5.53173     0.45683    -0.05926
     368.784   1.587E-02   4.636E-04    11.26893     0.42289    11.26099     9.79796     5.53173     0.45812    -0.02862
     368.960   1.726E-02   5.010E-04    11.26968     0.44102    11.26104     9.79796     5.53173     0.45942    -0.01185
     369.136   1.838E-02   5.302E-04    11.27029     0.45510    11.26110     9.79796     5.53173     0.46071    -0.05060
     369.311   1.930E-02   5.534E-04    11.27080     0.46641    11.26115     9.79796     5.53173     0.46200     0.00869
     369.487   2.007E-02   5.719E-04    11.27124     0.47562    11.26120     9.79796     5.53173     0.46326     0.01796
     369.662   2.073E-02   5.870E-04    11.27162     0.48338    11.26125     9.79796     5.53173     0.46454     0.00035
     369.838   2.124E-02   5.979E-04    11.27193     0.48935    11.26130     9.79796     5.53173     0.46582     0.00396
     370.013   2.154E-02   6.028E-04    11.27213     0.49279    11.26135     9.79796     5.53173     0.46701    -0.01120
     370.189   2.169E-02   6.060E-04    11.27221     0.49449    11.26136     9.79796     5.53173     0.46722     0.02146
     370.364   2.208E-02   6.158E-04    11.27242     0.49891    11.26137     9.79796     5.53173     0.46743    -0.00615
     370.540   2.279E-02   6.345E-04    11.27278     0.50683    11.26138     9.79796     5.53173     0.46766    -0.03390
